zoneid,year,ward_code,total_pop,chinese_ethnic_count,chinese_ethnic_pct,asia_born_count,asia_born_pct,asia_born_pct_is_proxy,pop_16_74,econ_active_rate,unemployment_rate,self_employment_rate,total_hh_spaces,owner_occ_rate,council_rent_rate,private_rent_rate,overcrowd_rate,overcrowd_severe_rate,no_bath_wc_rate,no_car_rate
00BNFY0002,2001,00BNFY,276,3,1.09,6,2.17,True,212,56.13,4.72,6.13,128,71.88,2.34,23.44,2.33,0.0,36.43,38.4
00BNFY0003,2001,00BNFY,259,0,0.0,0,0.0,True,170,40.59,7.65,5.29,120,20.0,58.33,8.33,0.0,0.0,4.8,69.49
00BNFY0004,2001,00BNFY,263,0,0.0,0,0.0,True,178,43.26,6.74,1.69,126,11.11,80.95,7.94,4.13,0.0,0.0,64.0
00BNFY0005,2001,00BNFY,246,0,0.0,14,5.69,True,188,50.53,7.45,1.6,133,45.11,6.77,30.83,0.0,0.0,19.23,65.12
00BNFY0006,2001,00BNFY,259,3,1.16,9,3.47,True,206,59.71,8.25,2.91,116,57.76,2.59,37.07,0.0,0.0,19.83,60.0
00BNFY0007,2001,00BNFY,295,0,0.0,4,1.36,True,213,72.77,2.82,1.41,123,78.86,2.44,18.7,4.8,2.4,22.31,36.07
00BNFY0008,2001,00BNFY,312,3,0.96,0,0.0,True,217,59.45,2.76,0.0,135,68.89,18.52,12.59,0.0,0.0,9.3,39.85
00BNFY0009,2001,00BNFY,246,0,0.0,0,0.0,True,152,61.84,0.0,4.61,116,50.0,5.17,13.79,0.0,0.0,16.24,62.83
00BNFY0010,2001,00BNFY,292,20,6.85,23,7.88,True,203,69.95,1.48,4.43,123,72.36,5.69,18.7,2.38,0.0,9.7,41.54
00BNFY0011,2001,00BNFY,269,6,2.23,6,2.23,True,181,58.56,7.18,8.84,132,38.64,24.24,30.3,0.0,0.0,15.75,60.0
00BNFY0012,2001,00BNFY,323,12,3.72,10,3.1,True,235,74.47,3.83,7.23,138,76.09,2.17,19.57,3.05,0.0,22.3,39.85
00BNFY0013,2001,00BNFY,291,6,2.06,6,2.06,True,178,54.49,5.06,6.18,128,60.16,21.09,13.28,0.0,0.0,14.16,52.03
00BNFY0014,2001,00BNFY,296,0,0.0,17,5.74,True,225,61.78,6.67,2.67,124,70.97,2.42,22.58,4.62,0.0,38.4,44.88
00BNFY0015,2001,00BNFY,262,4,1.53,0,0.0,True,206,52.43,7.28,4.37,135,42.96,4.44,23.7,0.0,0.0,21.01,54.26
00BNFY0016,2001,00BNFY,309,3,0.97,3,0.97,True,193,39.38,6.22,1.55,123,41.46,6.5,9.76,4.88,0.0,4.62,57.72
00BNFY0017,2001,00BNFY,300,0,0.0,3,1.0,True,214,57.48,2.8,4.21,117,90.6,3.42,5.98,2.52,0.0,10.24,34.48
00BNFY0018,2001,00BNFY,298,0,0.0,0,0.0,True,223,58.3,2.69,3.59,128,66.41,16.41,7.03,0.0,0.0,15.15,48.8
00BNFY0019,2001,00BNFY,334,0,0.0,3,0.9,True,257,60.7,3.5,5.45,138,80.43,2.17,13.04,0.0,0.0,16.67,36.88
00BNFY0020,2001,00BNFY,235,0,0.0,6,2.55,True,154,48.7,5.84,1.95,126,27.78,17.46,14.29,0.0,0.0,6.87,71.31
00BNFY0021,2001,00BNFY,323,3,0.93,14,4.33,True,214,57.01,4.67,1.87,141,51.77,23.4,21.99,2.24,2.24,15.44,53.96
00BNFY0022,2001,00BNFY,260,0,0.0,8,3.08,True,197,63.96,4.57,3.05,136,62.5,2.21,30.88,0.0,0.0,29.08,53.12
