WARD_CODE,JOIN_KEY,TOTAL_RES_1981
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAS,03BNAS    ,11181.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAT,03BNAT    ,11177.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAU,03BNAU    ,9113.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
03BNAW,03BNAW    ,9907.0
