zoneid,ward_code,year,TOTAL_RES_1991,TOTAL_MALE_1991,TOTAL_FEMALE_1991,CHINESE_ETHNIC_1991,CHINESE_ETHNIC_MALE_1991,CHINESE_ETHNIC_FEMALE_1991,PCT_CHINESE_ETHNIC_1991,CHINESE_AGE_0_4_1991,CHINESE_AGE_5_15_1991,CHINESE_AGE_16_29_1991,CHINESE_AGE_30_PENSION_1991,CHINESE_PENSIONABLE_1991,CHINESE_LIMITING_ILLNESS_1991,CHINA_BORN_1991,PCT_CHINA_BORN_1991,CHINESE_16PLUS_1991,CHINESE_ECON_ACTIVE_1991,CHINESE_UNEMPLOYED_1991,CHINESE_HOUSEHOLDS_1991,CHINESE_OVERCROWD_GT1P5_1991,CHINESE_OWNER_OCC_1991,PCT_CHINESE_OVERCROWD_1991,PCT_CHINESE_OWNER_OCC_1991
03BNGB13,03BNGB,1991,452,210,242,3,2,1,0.6637168141592921,2,0,0,2,0,0,0,0.0,2,1,0,1,0,0,0.0,0.0
03BNGB14,03BNGB,1991,681,323,358,10,2,8,1.4684287812041117,0,3,3,3,1,0,3,0.44052863436123346,10,5,1,3,0,3,0.0,100.0
03BNGB15,03BNGB,1991,582,292,290,10,5,5,1.7182130584192439,3,2,2,3,0,0,3,0.5154639175257731,5,5,0,2,0,2,0.0,100.0
03BNGB16,03BNGB,1991,597,291,306,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGB17,03BNGB,1991,569,277,292,5,2,3,0.8787346221441125,0,0,3,2,0,2,0,0.0,4,1,0,1,0,0,0.0,0.0
03BNGB18,03BNGB,1991,503,241,262,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGB19,03BNGB,1991,541,275,266,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,0.0,0.0
03BNGB20,03BNGB,1991,579,312,267,3,2,1,0.5181347150259067,0,0,0,1,0,0,1,0.17271157167530224,4,3,0,2,0,1,0.0,50.0
03BNGB21,03BNGB,1991,655,337,318,16,7,9,2.4427480916030535,1,4,5,5,1,0,4,0.6106870229007634,16,12,1,8,0,6,0.0,75.0
03BNGB22,03BNGB,1991,751,365,386,23,14,9,3.062583222370173,1,6,4,12,0,0,4,0.5326231691078562,17,14,0,8,0,8,0.0,100.0
03BNGC01,03BNGC,1991,590,301,289,5,2,3,0.847457627118644,0,0,4,0,0,0,0,0.0,9,5,2,3,0,2,0.0,66.66666666666667
03BNGC02,03BNGC,1991,420,212,208,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0.0,0.0
03BNGC03,03BNGC,1991,518,239,279,0,0,0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,3,0,0,0.0,0.0
03BNGC04,03BNGC,1991,499,235,264,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGC05,03BNGC,1991,528,277,251,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,,
