"geography_code","description","geography_groupings"
"5810",Stewarty,District
"5811",Wigtown,District
"5912",Dunfermline,District
"5913",Kirkcaldy,District
"5914",North East Fife,District
"6015",Aberdeen City,District
"6016",Banff and Buchan,District
"6017",Gordon,District
"6018",Kincardine and Deeside,District
"6019",Moray,District
"6120",Badenoch and Strathspey,District
"6121",Caithness,District
"6122",Inverness,District
"6123",Lochaber,District
"6124",Nairn,District
"6125",Ross and Cromarty,District
"6126",Skye and Lochalsh,District
"6127",Sutherland,District
"6228",East Lothian,District
"6229",Edinburgh City,District
"6230",Midlothian,District
"6231",West Lothian,District
"6332",Argyll and Bute,District
"6333",Bearsden and Milngavie,District
"6334",Clydebank,District
"6335",Cumbernauld and Kilsyth,District
"6336",Cumnock and Doon Valley,District
"6337",Cunninghame,District
"6338",Dumbarton,District
"6339",East Kilbride,District
"6340",Eastwood,District
"6341",Glasgow City,District
"6342",Hamilton,District
"6343",Inverclyde,District
"6344",Kilmarnock and Loudon,District
"6345",Kyle and Carrick,District
"6346",Clydesdale,District
"6347",Monklands,District
"6348",Motherwell,District
"6349",Renfrew,District
"6350",Strathkelvin,District
"6451",Angus,District
"6452",Dundee City,District
"6453",Perth and Kinross,District
"6554",Orkney,District
"6655",Shetland,District
"6756",Western Isles,District
"01AAFA",Aldersgate,Ward
"01AAFB",Aldgate,Ward
"01AAFC",Bassishaw,Ward
"01AAFD",Billingsgate,Ward
"01AAFE",Bishopsgate,Ward
"01AAFF",Bread Street,Ward
"01AAFG",Bridge,Ward
"01AAFH",Broad Street,Ward
"01AAFJ",Candlewick,Ward
"01AAFK",Castle Baynard,Ward
"01AAFL",Cheap,Ward
"01AAFM",Coleman Street,Ward
"01AAFN",Cordwainer,Ward
"01AAFP",Cornhill,Ward
"01AAFQ",Cripplegate,Ward
"01AAFR",Dowgate,Ward
"01AAFS",Farringdon Within,Ward
"01AAFT",Farringdon Without,Ward
"01AAFU",Langbourn,Ward
"01AAFW",Lime Street,Ward
"01AAFX",Portsoken,Ward
"01AAFY",Queenhithe,Ward
"01AAFZ",Tower,Ward
"01AAGA",Vintry,Ward
"01AAGB",Walbrook,Ward
"01AASS",Shipping,Ward
"01ABFA",Adelaide,Ward
"01ABFB",Belsize,Ward
"01ABFC",Bloomsbury,Ward
"01ABFD",Brunswick,Ward
"01ABFE",Camden,Ward
"01ABFF",Castlehaven,Ward
"01ABFG",Caversham,Ward
"01ABFH",Chalk Farm,Ward
"01ABFJ",Fitzjohns,Ward
"01ABFK",Fortune Green,Ward
"01ABFL",Frognal,Ward
"01ABFM",Gospel Oak,Ward
"01ABFN",Grafton,Ward
"01ABFP",Hampstead Town,Ward
"01ABFQ",Highgate,Ward
"01ABFR",Holborn,Ward
"01ABFS",Kilburn,Ward
"01ABFT",King's Cross,Ward
"01ABFU",Priory,Ward
"01ABFW",Regent's Park,Ward
"01ABFX",St.John's,Ward
"01ABFY",St.Pancras,Ward
"01ABFZ",Somers Town,Ward
"01ABGA",South End,Ward
"01ABGB",Swiss Cottage,Ward
"01ABGC",West End,Ward
"01ABSS",Shipping,Ward
"01ACFA",Brownswood,Ward
"01ACFB",Chatham,Ward
"01ACFC",Clissold,Ward
"01ACFD",Dalston,Ward
"01ACFE",De Beauvoir,Ward
"01ACFF",Eastdown,Ward
"01ACFG",Haggerston,Ward
"01ACFH",Homerton,Ward
"01ACFJ",Kings Park,Ward
"01ACFK",Leabridge,Ward
"01ACFL",Moorfields,Ward
"01ACFM",New River,Ward
"01ACFN",North Defoe,Ward
"01ACFP",Northfield,Ward
"01ACFQ",Northwold,Ward
"01ACFR",Queensbridge,Ward
"01ACFS",Rectory,Ward
"01ACFT",South Defoe,Ward
"01ACFU",Springfield,Ward
"01ACFW",Victoria,Ward
"01ACFX",Wenlock,Ward
"01ACFY",Westdown,Ward
"01ACFZ",Wick,Ward
"01ACSS",Shipping,Ward
"01ADFA",Addison,Ward
"01ADFB",Avonmore,Ward
"01ADFC",Broadway,Ward
"01ADFD",Brook Green,Ward
"01ADFE",Colehill,Ward
"01ADFF",College Park and Old Oak,Ward
"01ADFG",Coningham,Ward
"01ADFH",Crabtree,Ward
"01ADFJ",Eel Brook,Ward
"01ADFK",Gibbs Green,Ward
"01ADFL",Grove,Ward
"01ADFM",Margravine,Ward
"01ADFN",Normand,Ward
"01ADFP",Palace,Ward
"01ADFQ",Ravenscourt,Ward
"01ADFR",Sands End,Ward
"01ADFS",Sherbrooke,Ward
"01ADFT",Starch Green,Ward
"01ADFU",Sulivan,Ward
"01ADFW",Town,Ward
"01ADFX",Walham,Ward
"01ADFY",White City and Shepherds Bush,Ward
"01ADFZ",Wormholt,Ward
"01ADSS",Shipping,Ward
"01AEFA",Alexandra,Ward
"01AEFB",Archway,Ward
"01AEFC",Bowes Park,Ward
"01AEFD",Bruce Grove,Ward
"01AEFE",Coleraine,Ward
"01AEFF",Crouch End,Ward
"01AEFG",Fortis Green,Ward
"01AEFH",Green Lanes,Ward
"01AEFJ",Harringay,Ward
"01AEFK",High Cross,Ward
"01AEFL",Highgate,Ward
"01AEFM",Hornsey Central,Ward
"01AEFN",Hornsey Vale,Ward
"01AEFP",Muswell Hill,Ward
"01AEFQ",Noel Park,Ward
"01AEFR",Park,Ward
"01AEFS",Seven Sisters,Ward
"01AEFT",South Hornsey,Ward
"01AEFU",South Tottenham,Ward
"01AEFW",Tottenham Central,Ward
"01AEFX",West Green,Ward
"01AEFY",White Hart Lane,Ward
"01AEFZ",Woodside,Ward
"01AESS",Shipping,Ward
"01AFFA",Barnsbury,Ward
"01AFFB",Bunhill,Ward
"01AFFC",Canonbury East,Ward
"01AFFD",Canonbury West,Ward
"01AFFE",Clerkenwell,Ward
"01AFFF",Gillespie,Ward
"01AFFG",Highbury,Ward
"01AFFH",Highview,Ward
"01AFFJ",Hillmarton,Ward
"01AFFK",Hillrise,Ward
"01AFFL",Holloway,Ward
"01AFFM",Junction,Ward
"01AFFN",Mildmay,Ward
"01AFFP",Quadrant,Ward
"01AFFQ",St.George's,Ward
"01AFFR",St.Mary,Ward
"01AFFS",St.Peter,Ward
"01AFFT",Sussex,Ward
"01AFFU",Thornhill,Ward
"01AFFW",Tollington,Ward
"01AFSS",Shipping,Ward
"01AGFA",Abingdon,Ward
"01AGFB",Avondale,Ward
"01AGFC",Brompton,Ward
"01AGFD",Campden,Ward
"01AGFE",Cheyne,Ward
"01AGFF",Church,Ward
"01AGFG",Colville,Ward
"01AGFH",Courtfield,Ward
"01AGFJ",Earls Court,Ward
"01AGFK",Golborne,Ward
"01AGFL",Hans Town,Ward
"01AGFM",Holland,Ward
"01AGFN",Kelfield,Ward
"01AGFP",Norland,Ward
"01AGFQ",North Stanley,Ward
"01AGFR",Pembridge,Ward
"01AGFS",Queens Gate,Ward
"01AGFT",Redcliffe,Ward
"01AGFU",Royal Hospital,Ward
"01AGFW",St.Charles,Ward
"01AGFX",South Stanley,Ward
"01AGSS",Shipping,Ward
"01AHFA",Angell,Ward
"01AHFB",Bishop's,Ward
"01AHFC",Clapham Park,Ward
"01AHFD",Clapham Town,Ward
"01AHFE",Ferndale,Ward
"01AHFF",Gipsy Hill,Ward
"01AHFG",Herne Hill,Ward
"01AHFH",Knight's Hill,Ward
"01AHFJ",Larkhall,Ward
"01AHFK",Oval,Ward
"01AHFL",Prince's,Ward
"01AHFM",St.Leonard's,Ward
"01AHFN",St.Martin's,Ward
"01AHFP",Stockwell,Ward
"01AHFQ",Streatham Hill,Ward
"01AHFR",Streatham South,Ward
"01AHFS",Streatham Wells,Ward
"01AHFT",Thornton,Ward
"01AHFU",Thurlow Park,Ward
"01AHFW",Town Hall,Ward
"01AHFX",Tulse Hill,Ward
"01AHFY",Vassall,Ward
"01AHSS",Shipping,Ward
"01AJFA",Bellingham,Ward
"01AJFB",Blackheath,Ward
"01AJFC",Blythe Hill,Ward
"01AJFD",Catford,Ward
"01AJFE",Churchdown,Ward
"01AJFF",Crofton Park,Ward
"01AJFG",Downham,Ward
"01AJFH",Drake,Ward
"01AJFJ",Evelyn,Ward
"01AJFK",Forest Hill,Ward
"01AJFL",Grinling Gibbons,Ward
"01AJFM",Grove Park,Ward
"01AJFN",Hither Green,Ward
"01AJFP",Horniman,Ward
"01AJFQ",Ladywell,Ward
"01AJFR",Manor Lee,Ward
"01AJFS",Marlowe,Ward
"01AJFT",Pepys,Ward
"01AJFU",Perry Hill,Ward
"01AJFW",Rushey Green,Ward
"01AJFX",St.Andrew,Ward
"01AJFY",St.Margaret,Ward
"01AJFZ",St.Mildred,Ward
"01AJGA",Sydenham East,Ward
"01AJGB",Sydenham West,Ward
"01AJGC",Whitefoot,Ward
"01AJSS",Shipping,Ward
"01AKFA",Beckton,Ward
"01AKFB",Bemersyde,Ward
"01AKFC",Canning Town and Grange,Ward
"01AKFD",Castle,Ward
"01AKFE",Central,Ward
"01AKFF",Custom House and Silvertown,Ward
"01AKFG",Forest Gate,Ward
"01AKFH",Greatfield,Ward
"01AKFJ",Hudsons,Ward
"01AKFK",Kensington,Ward
"01AKFL",Little Ilford,Ward
"01AKFM",Manor Park,Ward
"01AKFN",Monega,Ward
"01AKFP",New Town,Ward
"01AKFQ",Ordnance,Ward
"01AKFR",Park,Ward
"01AKFS",Plaistow,Ward
"01AKFT",Plashet,Ward
"01AKFU",St.Stephens,Ward
"01AKFW",South,Ward
"01AKFX",Stratford,Ward
"01AKFY",Upton,Ward
"01AKFZ",Wall End,Ward
"01AKGA",West Ham,Ward
"01AKSS",Shipping,Ward
"01ALFA",Abbey,Ward
"01ALFB",Alleyn,Ward
"01ALFC",Barset,Ward
"01ALFD",Bellenden,Ward
"01ALFE",Bricklayers,Ward
"01ALFF",Browning,Ward
"01ALFG",Brunswick,Ward
"01ALFH",Burgess,Ward
"01ALFJ",Cathedral,Ward
"01ALFK",Chaucer,Ward
"01ALFL",College,Ward
"01ALFM",Consort,Ward
"01ALFN",Dockyard,Ward
"01ALFP",Faraday,Ward
"01ALFQ",Friary,Ward
"01ALFR",Liddle,Ward
"01ALFS",Lyndhurst,Ward
"01ALFT",Newington,Ward
"01ALFU",Riverside,Ward
"01ALFW",Rotherhithe,Ward
"01ALFX",Ruskin,Ward
"01ALFY",Rye,Ward
"01ALFZ",St.Giles,Ward
"01ALGA",The Lane,Ward
"01ALGB",Waverley,Ward
"01ALSS",Shipping,Ward
"01AMFA",Blackwall,Ward
"01AMFB",Bow,Ward
"01AMFC",Bromley,Ward
"01AMFD",East India,Ward
"01AMFE",Grove,Ward
"01AMFF",Holy Trinity,Ward
"01AMFG",Lansbury,Ward
"01AMFH",Limehouse,Ward
"01AMFJ",Millwall,Ward
"01AMFK",Park,Ward
"01AMFL",Redcoat,Ward
"01AMFM",St.Dunstan's,Ward
"01AMFN",St.James',Ward
"01AMFP",St.Katherine's,Ward
"01AMFQ",St.Mary's,Ward
"01AMFR",St.Peter's,Ward
"01AMFS",Shadwell,Ward
"01AMFT",Spitalfields,Ward
"01AMFU",Weavers,Ward
"01AMSS",Shipping,Ward
"01ANFA",Balham,Ward
"01ANFB",Bedford,Ward
"01ANFC",Earlsfield,Ward
"01ANFD",East Putney,Ward
"01ANFE",Fairfield,Ward
"01ANFF",Furzedown,Ward
"01ANFG",Graveney,Ward
"01ANFH",Latchmere,Ward
"01ANFJ",Nightingale,Ward
"01ANFK",Northcote,Ward
"01ANFL",Parkside,Ward
"01ANFM",Queenstown,Ward
"01ANFN",Roehampton,Ward
"01ANFP",St.John,Ward
"01ANFQ",St.Mary's Park,Ward
"01ANFR",Shaftesbury,Ward
"01ANFS",Southfield,Ward
"01ANFT",Springfield,Ward
"01ANFU",Thamesfield,Ward
"01ANFW",Tooting,Ward
"01ANFX",West Hill,Ward
"01ANFY",West Putney,Ward
"01ANSS",Shipping,Ward
"01APFA",Baker Street,Ward
"01APFB",Bayswater,Ward
"01APFC",Belgrave,Ward
"01APFD",Bryanston,Ward
"01APFE",Cavendish,Ward
"01APFF",Churchill,Ward
"01APFG",Church Street,Ward
