"table_name","table_column_name","description"
S03EWS,S030074,Housing Association Homes and Hostels // Female // Persons // Establishments; persons present not in households
S03EWS,S030075,Housing Association Homes and Hostels // Not resident // Male // Persons // Establishments; persons present not in households
S03EWS,S030076,Housing Association Homes and Hostels // Not resident // Female // Persons // Establishments; persons present not in households
S03EWS,S030077,Housing Association Homes and Hostels // Staff // Male // Persons // Establishments; persons present not in households
S03EWS,S030078,Housing Association Homes and Hostels // Staff // Female // Persons // Establishments; persons present not in households
S03EWS,S030079,Housing Association Homes and Hostels // Other residents // Male // Persons // Establishments; persons present not in households
S03EWS,S030080,Housing Association Homes and Hostels // Other residents // Female // Persons // Establishments; persons present not in households
S03EWS,S030081,Nursing Homes (Non-NHS/LA/HA) // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households
S03EWS,S030082,Nursing Homes (Non-NHS/LA/HA) // TOTAL: Persons // Persons // Establishments; persons present not in households
S03EWS,S030083,Nursing Homes (Non-NHS/LA/HA) // Male // Persons // Establishments; persons present not in households
S03EWS,S030084,Nursing Homes (Non-NHS/LA/HA) // Female // Persons // Establishments; persons present not in households
S03EWS,S030085,Nursing Homes (Non-NHS/LA/HA) // Not resident // Male // Persons // Establishments; persons present not in households
S03EWS,S030086,Nursing Homes (Non-NHS/LA/HA) // Not resident // Female // Persons // Establishments; persons present not in households
S03EWS,S030087,Nursing Homes (Non-NHS/LA/HA) // Staff // Male // Persons // Establishments; persons present not in households
S03EWS,S030088,Nursing Homes (Non-NHS/LA/HA) // Staff // Female // Persons // Establishments; persons present not in households
S03EWS,S030089,Nursing Homes (Non-NHS/LA/HA) // Other residents // Male // Persons // Establishments; persons present not in households
S03EWS,S030090,Nursing Homes (Non-NHS/LA/HA) // Other residents // Female // Persons // Establishments; persons present not in households
S03EWS,S030091,Residential Homes (Non-NHS/LA/HA) // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households
S03EWS,S030092,Residential Homes (Non-NHS/LA/HA) // TOTAL: Persons // Persons // Establishments; persons present not in households
S03EWS,S030093,Residential Homes (Non-NHS/LA/HA) // Male // Persons // Establishments; persons present not in households
S03EWS,S030094,Residential Homes (Non-NHS/LA/HA) // Female // Persons // Establishments; persons present not in households
S03EWS,S030095,Residential Homes (Non-NHS/LA/HA) // Not resident // Male // Persons // Establishments; persons present not in households
