"table_file_name","table_column_name","description"
af001_ons,AF0010129,Age 55 and over// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010130,Age 55 and over// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Household residents// Females// Persons// All Residents in Armed Forces
af001_ons,AF0010131,Age 55 and over// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Males// Persons// All Residents in Armed Forces
af001_ons,AF0010132,Age 55 and over// Employed in Armed Forces// Resident in this area 1 year ago but resident at a different address on census day// Communal Establishment residents// Females// Persons// All Residents in Armed Forces
af002_ons,AF0020001,All categories: Age Of Resident In Households With Armed Forces Personnel// Household Reference Person (HRP)// All categories: Migration (Armed Forces)// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020002,All categories: Age Of Resident In Households With Armed Forces Personnel// Household Reference Person (HRP)// All categories: Migration (Armed Forces)// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020003,All categories: Age Of Resident In Households With Armed Forces Personnel// Associated persons in households// All categories: Migration (Armed Forces)// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020004,All categories: Age Of Resident In Households With Armed Forces Personnel// Associated persons in households// All categories: Migration (Armed Forces)// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020005,All categories: Age Of Resident In Households With Armed Forces Personnel// Household Reference Person (HRP)// All in wholly moving households// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020006,All categories: Age Of Resident In Households With Armed Forces Personnel// Household Reference Person (HRP)// All in wholly moving households// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020007,All categories: Age Of Resident In Households With Armed Forces Personnel// Associated persons in households// All in wholly moving households// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020008,All categories: Age Of Resident In Households With Armed Forces Personnel// Associated persons in households// All in wholly moving households// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020009,All categories: Age Of Resident In Households With Armed Forces Personnel// Household Reference Person (HRP)// Resident in this area 1 year ago but resident at a different address on census day// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020010,All categories: Age Of Resident In Households With Armed Forces Personnel// Household Reference Person (HRP)// Resident in this area 1 year ago but resident at a different address on census day// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020011,All categories: Age Of Resident In Households With Armed Forces Personnel// Associated persons in households// Resident in this area 1 year ago but resident at a different address on census day// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020012,All categories: Age Of Resident In Households With Armed Forces Personnel// Associated persons in households// Resident in this area 1 year ago but resident at a different address on census day// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020015,Age 0 to 4// Associated persons in households// All categories: Migration (Armed Forces)// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020016,Age 0 to 4// Associated persons in households// All categories: Migration (Armed Forces)// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020019,Age 0 to 4// Associated persons in households// All in wholly moving households// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020020,Age 0 to 4// Associated persons in households// All in wholly moving households// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020023,Age 0 to 4// Associated persons in households// Resident in this area 1 year ago but resident at a different address on census day// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020024,Age 0 to 4// Associated persons in households// Resident in this area 1 year ago but resident at a different address on census day// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020027,Age 5 to 9// Associated persons in households// All categories: Migration (Armed Forces)// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020028,Age 5 to 9// Associated persons in households// All categories: Migration (Armed Forces)// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020031,Age 5 to 9// Associated persons in households// All in wholly moving households// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020032,Age 5 to 9// Associated persons in households// All in wholly moving households// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020035,Age 5 to 9// Associated persons in households// Resident in this area 1 year ago but resident at a different address on census day// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020036,Age 5 to 9// Associated persons in households// Resident in this area 1 year ago but resident at a different address on census day// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020039,Age 10 to 14// Associated persons in households// All categories: Migration (Armed Forces)// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020040,Age 10 to 14// Associated persons in households// All categories: Migration (Armed Forces)// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020043,Age 10 to 14// Associated persons in households// All in wholly moving households// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020044,Age 10 to 14// Associated persons in households// All in wholly moving households// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020047,Age 10 to 14// Associated persons in households// Resident in this area 1 year ago but resident at a different address on census day// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020048,Age 10 to 14// Associated persons in households// Resident in this area 1 year ago but resident at a different address on census day// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020051,Age 15// Associated persons in households// All categories: Migration (Armed Forces)// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020052,Age 15// Associated persons in households// All categories: Migration (Armed Forces)// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020055,Age 15// Associated persons in households// All in wholly moving households// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020056,Age 15// Associated persons in households// All in wholly moving households// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020059,Age 15// Associated persons in households// Resident in this area 1 year ago but resident at a different address on census day// Males// Persons// All People Resident in Households with Armed Forces Personnel
